"ID","name","address","cryptocurrency","credit_card_number","credit_card_expire","country","city","chrome"
"1","Trevor Stanley","05769 Gay Plaza
Hughesburgh, MD 09141","('GRC', 'Gridcoin')","213190233275520","02/26","Chad","Port Katherine","Mozilla/5.0 (Macintosh; PPC Mac OS X 10_10_3) AppleWebKit/535.0 (KHTML, like Gecko) Chrome/43.0.888.0 Safari/535.0"
"2","Lisa Scott","4389 Jamie Ford Apt. 743
New Zacharychester, MD 18658","('ZCL', 'Zclassic')","6598841351263167","07/28","Poland","Morrishaven","Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_7_6) AppleWebKit/532.0 (KHTML, like Gecko) Chrome/60.0.845.0 Safari/532.0"
"3","Christopher Larson","796 Andersen Avenue Apt. 809
Bookertown, IA 67855","('IOTA', 'IOTA')","6518855338779530","10/28","Syrian Arab Republic","Perkinsmouth","Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_4 like Mac OS X) AppleWebKit/536.2 (KHTML, like Gecko) CriOS/14.0.819.0 Mobile/25T381 Safari/536.2"
"4","Troy Jacobs","Unit 9062 Box 1380
DPO AP 66128","('BTC', 'Bitcoin')","180085842930722","06/31","Norfolk Island","Meghanmouth","Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_9_8) AppleWebKit/536.0 (KHTML, like Gecko) Chrome/13.0.804.0 Safari/536.0"
"5","Jay Miller","39627 Robinson Centers Apt. 603
New Terryside, FL 39896","('AMP', 'AMP')","4833787429625343","01/33","Senegal","Evansstad","Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_7_3) AppleWebKit/536.2 (KHTML, like Gecko) Chrome/21.0.832.0 Safari/536.2"
"6","Kimberly Tate","9974 Taylor Course Apt. 901
East Johnchester, CA 11219","('MSC', 'Omni')","377418331749282","06/29","Jamaica","Allenland","Mozilla/5.0 (Linux; Android 3.2.2) AppleWebKit/536.0 (KHTML, like Gecko) Chrome/38.0.827.0 Safari/536.0"
"7","Maria Brooks","61227 Jean Underpass
Cynthiafort, TX 44116","('BCH', 'Bitcoin Cash')","347011573744488","07/30","French Polynesia","West Janice","Mozilla/5.0 (Macintosh; PPC Mac OS X 10_9_4) AppleWebKit/533.2 (KHTML, like Gecko) Chrome/14.0.870.0 Safari/533.2"
"8","Angel Jenkins","41833 Hughes Field
Rittershire, DE 10052","('POT', 'PotCoin')","676118260139","11/25","Liberia","Martinfort","Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_3 like Mac OS X) AppleWebKit/535.2 (KHTML, like Gecko) CriOS/43.0.854.0 Mobile/92H557 Safari/535.2"
"9","William Bennett","037 Stevens Shore Apt. 158
Elizabethmouth, AK 93307","('ETH', 'Ethereum')","4801481160571380135","04/32","Iran","Seanborough","Mozilla/5.0 (Linux; Android 7.1) AppleWebKit/533.2 (KHTML, like Gecko) Chrome/28.0.810.0 Safari/533.2"
"10","Timothy Rosales","USNV Ramirez
FPO AA 18914","('TRX', 'TRON')","180028834453402","10/29","Norfolk Island","Port Scottberg","Mozilla/5.0 (Linux; Android 2.2.2) AppleWebKit/533.2 (KHTML, like Gecko) Chrome/14.0.805.0 Safari/533.2"
