customer_id,first_name_male,last_name_male,address,free_email,company_email,city,company,credit_card_number,credit_card_expire,credit_card_security_code,credit_card_provider,currency,currency_code,date,date_of_birth,date_time,day_of_week,hostname,image_url,ipv4,ipv6,job,latlng,nif,password,phone_number,pricetag,profile,pyfloat,pyint,random_digit_not_null,random_int,region,rgb_color,secondary_address,state_name,swift,text,timezone,url,user_agent,user_name
6910AB464D1340E5AF109705EB5678F2,Bernardo,Saura,"Rambla Ceferino Montalbán 6
Sevilla, 42946",fatima26yahoo.com,loida18pedrero.es,Lugo,Piña-Valentín,630494550753,12/26,240,VISA 16 digit,"('CVE', 'Escudo de Cabo Verde')",LAK,1977-01-03,1925-08-26,2017-01-11 16:19:32,lunes,lt-22.pinilla.net,https://dummyimage.com/343x605,39.46.146.186,3733:2e73:2ac4:45d9:2eca:11c9:6d25:6b44,Camarero de mesa,"(Decimal('54.8941425'), Decimal('155.960706'))",15157135C,Hcq7(YwZq3,+34828 10 59 93,"0,87 €","{'job': 'Técnico en operaciones de tecnología de la información y las comunicaciones', 'company': 'Aller, Cerdá and Bermejo', 'ssn': '916-15-1896', 'residence': 'Via Lucía Lara 695 Puerta 0 \nOurense, 35118', 'current_location': (Decimal('-81.7642935'), Decimal('-54.092377')), 'blood_group': 'A+', 'website': ['http://villa.org/', 'https://mateo-llobet.org/', 'https://osuna-arnau.es/'], 'username': 'octaviocrespi', 'name': 'Mohamed Rosell Iñiguez', 'sex': 'M', 'address': 'Paseo Luz Miranda 162 Piso 8 \nLleida, 15348', 'mail': 'orozcomacarena3yahoo.com', 'birthdate': datetime.date(1966, 2, 17)}",233515452.917149,1058,7,1859,Illes Balears,"16,213,153",Apt. 97,Baleares,ZDDPEST0,Reiciendis ex commodi cupiditate voluptatem velit ex facere. Recusandae labore beatae impedit. Molestiae temporibus aliquam ullam harum.,Asia/Rangoon,http://www.marques-aguilo.net/,"Mozilla/5.0 (iPod; U; CPU iPhone OS 4_2 like Mac OS X; ayc-PE) AppleWebKit/533.27.5 (KHTML, like Gecko) Version/3.0.5 Mobile/8B119 Safari/6533.27.5",yolandarivero
F9E67FDBE5794A82BF7495D9B2B210F2,Cirino,Rosell,"Avenida Vicenta Zabaleta 182
Girona, 05454",nieves22hotmail.com,ypedrazaangel-checa.com,Teruel,Olmo-Valenzuela,3538079166659465,07/30,115,American Express,"('CUP', 'Peso subano')",IRR,2022-05-22,1964-12-20,1987-11-27 23:55:10,martes,web-85.gomis.es,https://picsum.photos/120/657,183.58.192.174,fe2c:be31:80cb:3ec9:1905:9c04:aeed:872d,Gestor de aduana,"(Decimal('60.5215895'), Decimal('-146.883563'))",01905572E,4hM0Jzw692,+34948 56 81 39,"58.396,09 €","{'job': 'Operador de máquinas de coser', 'company': 'Domingo, Sebastián and Planas', 'ssn': '947-79-5622', 'residence': 'Plaza de Leonel Pons 3\nMurcia, 23353', 'current_location': (Decimal('-86.1594195'), Decimal('43.212104')), 'blood_group': 'B+', 'website': ['http://www.ballesteros.es/', 'https://roman.es/'], 'username': 'odalys17', 'name': 'Chucho Castell Barceló', 'sex': 'M', 'address': 'Alameda de Jenny Seguí 9 Puerta 6 \nToledo, 20573', 'mail': 'americo712yahoo.com', 'birthdate': datetime.date(1984, 4, 12)}",-619886249867.658,2109,4,7855,Región de Murcia,"166,109,107",Puerta 5,Palencia,XOIXESYI,Minus adipisci eligendi quidem debitis ducimus vero. Illum officiis sit officiis voluptatem. Natus ullam natus et eum sequi dolor. Voluptatum voluptates tenetur fugit.,Asia/Baghdad,http://www.dalmau-ribas.net/,"Mozilla/5.0 (iPod; U; CPU iPhone OS 3_2 like Mac OS X; ve-ZA) AppleWebKit/534.45.4 (KHTML, like Gecko) Version/4.0.5 Mobile/8B115 Safari/6534.45.4",joveoctavio
4195B8FD7FD246BE8C364EE73CBA3C9C,Trinidad,Trillo,"Vial de Angelita Soriano 83
Zaragoza, 05577",rosenda46yahoo.com,pastorvitocorbacho-cuenca.es,Girona,Manzanares LLC,180000520554280,08/24,454,JCB 15 digit,"('FJD', 'Dólar fiyiano')",ETB,1984-11-20,2019-03-03,2000-02-17 00:28:17,martes,laptop-17.canellas-puga.es,https://dummyimage.com/241x718,33.36.77.62,de7b:2d52:c3a3:e366:86c6:723e:bb62:3760,Cantante,"(Decimal('25.689686'), Decimal('-90.482434'))",09539222H,00DBxIa+E6,+34811011914,"38,41 €","{'job': 'Ayudante de ambulancia', 'company': 'Duran, Castells and Contreras', 'ssn': '093-43-9267', 'residence': 'Avenida de Rafael Abascal 28\nZaragoza, 32675', 'current_location': (Decimal('-31.7842975'), Decimal('104.989003')), 'blood_group': 'B-', 'website': ['https://www.palacios.net/', 'http://julian.com/', 'http://www.hervia.es/'], 'username': 'concepcionbenitez', 'name': 'Pepita de Puerta', 'sex': 'F', 'address': 'Urbanización Agustín Sanabria 599\nCádiz, 11720', 'mail': 'iglesiaslunayahoo.com', 'birthdate': datetime.date(1948, 3, 27)}",13139197627537.2,6459,3,8874,Comunidad de Madrid,"222,75,24",Apt. 49,Cantabria,IRUFESCZ,"Iste mollitia fuga dignissimos enim.
Ipsum in molestias eligendi maiores itaque. Blanditiis laboriosam commodi nisi labore.
Harum sequi nesciunt iure. A ipsum nisi quaerat fugiat.",America/Jamaica,http://arino.com/,"Mozilla/5.0 (Linux; Android 2.0.1) AppleWebKit/533.0 (KHTML, like Gecko) Chrome/52.0.807.0 Safari/533.0",hfont
1E4EFAD5758F4ACFB24B6C080EE85631,Alfredo,Pi,"Paseo de Concha Llobet 54
Ciudad, 17235",agueda28yahoo.com,morillodomingo6cid.com,Jaén,Oller Ltd,4481738310147165,07/29,901,Diners Club / Carte Blanche,"('TJS', 'Somoni tayiko')",IQD,1975-10-31,2005-02-02,1990-12-22 19:41:34,viernes,email-88.mata-navarrete.es,https://dummyimage.com/183x881,23.243.80.162,93ad:d6ee:4178:75f0:5c3b:593c:842f:5c19,Lavandero,"(Decimal('3.907281'), Decimal('58.133681'))",14047994P,DMK2dBetE9,+34825907601,"8.158,46 €","{'job': 'Ebanista', 'company': 'Blázquez Ltd', 'ssn': '540-49-0686', 'residence': 'Calle Rogelio Valdés 28\nTeruel, 23290', 'current_location': (Decimal('-16.060331'), Decimal('-54.165737')), 'blood_group': 'AB+', 'website': ['http://carretero-sanjuan.com/', 'https://www.bayona.es/', 'http://www.plaza-roldan.com/', 'http://www.carbonell-arce.com/'], 'username': 'maramburu', 'name': 'Teobaldo Pelayo Espada Fuertes', 'sex': 'M', 'address': 'Avenida de Paz Viña 47 Puerta 1 \nGuipúzcoa, 48585', 'mail': 'lsolanahotmail.com', 'birthdate': datetime.date(1967, 9, 3)}",-9.57518818609849,5676,6,5257,Castilla-La Mancha,"240,2,163",Piso 3,Valencia,MNBGES1C,Tenetur corporis hic fugit numquam itaque autem. Placeat hic unde amet velit mollitia. Odio minus maxime tenetur optio suscipit repudiandae est.,Indian/Mauritius,http://www.camara-rincon.es/,"Mozilla/5.0 (Macintosh; PPC Mac OS X 10_12_8 rv:2.0; ur-IN) AppleWebKit/531.23.2 (KHTML, like Gecko) Version/5.1 Safari/531.23.2",martinasedano
77BFCC8475B2475DAF352BC90F60EA68,Rafael,Mercader,"Cañada de Rebeca Rosado 83
Guipúzcoa, 04344",utapiahotmail.com,heliodoroelorzaviana.net,Cuenca,"Batalla, Folch and Roselló",3518402374606512,03/26,792,American Express,"('NIS', 'Nuevo Séquel israelí')",FJD,1978-01-20,1911-06-11,1996-04-06 11:04:36,jueves,laptop-72.torrijos-peral.net,https://placekitten.com/714/535,111.79.167.171,773d:168:ab8b:329a:95fc:5215:7506:66c8,Analista de gestión y organización,"(Decimal('73.048321'), Decimal('-21.340864'))",74725070W,3*QQYTnne7,+34871 43 34 86,"32,28 €","{'job': 'Pescador de agua dulce y en aguas costeras', 'company': 'Espinosa, Peña and Quintana', 'ssn': '603-75-6904', 'residence': 'C. Germán Iñiguez 92 Piso 7 \nMadrid, 12219', 'current_location': (Decimal('-55.635330'), Decimal('153.732251')), 'blood_group': 'O+', 'website': ['http://davila-lozano.com/'], 'username': 'qbermudez', 'name': 'Ximena Reyna Giménez Cabezas', 'sex': 'F', 'address': 'Rambla María José Hoz 5\nValladolid, 10324', 'mail': 'adoracion42hotmail.com', 'birthdate': datetime.date(2018, 7, 9)}",-45395106833966.5,1559,4,959,Aragón,"208,196,160",Piso 8,Huesca,UKQSES78,"Dolorum iure at est in incidunt autem. Repudiandae consequatur laudantium facilis.
Iste dolorum odio et at. Ex vitae voluptatum optio. Corrupti deleniti hic incidunt veritatis voluptas.",Europe/Riga,https://carretero.es/,Mozilla/5.0 (Android 8.0.0; Mobile; rv:28.0) Gecko/28.0 Firefox/28.0,martorellangelina
3FC1EB9E0BEA48D2B55DBE4DA425F7A2,Balduino,Gilabert,"Alameda de Ani Bermudez 87
Valencia, 24362",melaniaibanezgmail.com,leandro64hierro.com,León,Anguita Group,3578460956498820,08/30,182,JCB 16 digit,"('SYP', 'Libra siria')",JOD,1999-04-14,1920-11-15,2005-08-10 01:58:39,viernes,lt-94.leon.es,https://picsum.photos/707/961,156.183.204.71,9602:f383:8818:cf56:73ef:9ab2:8172:938,Cortador de vidrio,"(Decimal('58.0587055'), Decimal('-24.467199'))",11805476J,JN0C_0Zy^3,+34878 56 00 86,"6,25 €","{'job': 'Encuadernador', 'company': 'Lillo, Vilalta and Pellicer', 'ssn': '406-78-2072', 'residence': 'Cuesta Celia Guillen 546\nNavarra, 02856', 'current_location': (Decimal('4.557007'), Decimal('157.539276')), 'blood_group': 'B-', 'website': ['https://valencia.es/'], 'username': 'sasensio', 'name': 'Arturo Vélez Albero', 'sex': 'M', 'address': 'Cañada de León Belmonte 550\nLleida, 45740', 'mail': 'itziar509gmail.com', 'birthdate': datetime.date(1975, 12, 27)}",764148187695.642,9064,7,350,Castilla y León,"132,123,167",Apt. 40,Álava,GWOYES9V,In adipisci neque molestias eveniet blanditiis qui. Earum porro rerum dolore veniam odio cupiditate voluptates.,Africa/Luanda,http://pardo-oliva.es/,"Mozilla/5.0 (iPod; U; CPU iPhone OS 3_3 like Mac OS X; eu-FR) AppleWebKit/534.49.6 (KHTML, like Gecko) Version/4.0.5 Mobile/8B117 Safari/6534.49.6",acorominas
8AADAA7BCC5E4D1DA878E4AA7E2FE166,Juan Antonio,Carlos,"Rambla de Hilario Agudo 73 Puerta 5 
Navarra, 28861",mariirene9hotmail.com,tovarjafet6rius.net,Soria,Pablo PLC,36110020440991,10/28,2111,American Express,"('LKR', 'Rupia esrilanquesa')",JPY,1976-07-10,1917-07-21,1980-12-12 00:10:58,domingo,lt-23.castilla.net,https://placekitten.com/178/497,179.131.108.63,5c23:547:e4a5:3a1:dac9:6e6a:6804:4ac2,Oficial de las fuerzas armadas,"(Decimal('-30.0851145'), Decimal('32.571813'))",48914989S,ip*6V8Vw4),+34967 509 414,"25,75 €","{'job': 'Calderero', 'company': 'Manrique, Serra and Cisneros', 'ssn': '408-79-8117', 'residence': 'Urbanización Luisa Rojas 35\nVizcaya, 24810', 'current_location': (Decimal('38.8136805'), Decimal('135.943655')), 'blood_group': 'A-', 'website': ['http://www.garmendia-ballester.es/', 'http://www.verdugo.com/', 'http://blasco.org/'], 'username': 'xreig', 'name': 'Primitivo Marcelino Perera Castilla', 'sex': 'M', 'address': 'C. Micaela Amigó 98\nÁlava, 01516', 'mail': 'monrealbruno4hotmail.com', 'birthdate': datetime.date(1988, 2, 24)}",9622347001.11355,2541,4,6732,Principado de Asturias,"98,186,54",Piso 8,Las Palmas,IGHYESR670O,Eos omnis illo aut maiores est ducimus. Dolorum consectetur tempore doloribus. Officiis temporibus ut dolorem.,Europe/Vatican,http://www.robledo-ayllon.es/,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_0) AppleWebKit/531.2 (KHTML, like Gecko) Chrome/35.0.894.0 Safari/531.2",stejera
7DBB7A02F1924F3DA436B31F63A5346D,Juan Luis,Torrens,"Camino Daniela Gámez 56 Piso 0 
Murcia, 08144",zarregui4yahoo.com,aamat3quintero.net,Segovia,Abril-Camps,3543723205998888,05/23,336,VISA 16 digit,"('HTG', 'Gourde haitiano')",SLL,1991-12-19,2011-08-27,2004-09-19 17:39:54,lunes,srv-10.aguilo-zaragoza.es,https://picsum.photos/333/515,128.62.100.217,9a1b:146b:1719:f2f3:dd5d:72:70bb:a34c,Empleado del servicio de personal,"(Decimal('79.7522435'), Decimal('-48.163967'))",70621307Z,+5EJbQk&E1,+34 884 113 019,"8,42 €","{'job': 'Ingeniero medioambiental', 'company': 'Cruz Group', 'ssn': '386-92-6389', 'residence': 'Ronda de José Ángel Diaz 70\nGranada, 26274', 'current_location': (Decimal('22.425012'), Decimal('-25.898144')), 'blood_group': 'B-', 'website': ['https://oliver.es/', 'http://collado-mateu.com/'], 'username': 'olmojafet', 'name': 'Nicolasa Belmonte Hernández', 'sex': 'F', 'address': 'Acceso Xavier Alsina 80\nÁvila, 32878', 'mail': 'isabelmedinagmail.com', 'birthdate': datetime.date(1982, 1, 10)}",-24197455012.4736,8568,5,8061,Galicia,"221,170,33",Piso 2,La Rioja,IOHZES0O9B2,Nesciunt iure veniam occaecati consequuntur nihil pariatur. Maiores eaque optio culpa aut. Enim culpa quidem eius.,Indian/Maldives,https://www.acuna-cerro.org/,Mozilla/5.0 (compatible; MSIE 9.0; Windows 98; Trident/4.1),vidal40
7788EF5D5CC7460299B7F325A23D6835,Edu,Ramis,"Camino de Cecilia Oliver 276 Apt. 22 
Cádiz, 19561",clotilde424hotmail.com,isernchemapaez.net,Lugo,Ureña LLC,4788859216224,10/28,9905,Maestro,"('PYG', 'Guaraní paraguayo')",NIS,2004-01-19,1956-03-06,2006-02-22 07:13:50,lunes,web-89.carreras-zaragoza.com,https://placeimg.com/335/718/any,211.166.9.207,2689:8f35:b70d:6860:86df:abe3:8d19:e1,Auxiliar laico de las religión,"(Decimal('87.807313'), Decimal('95.886290'))",27934157J,wc49H37k(^,+34 609759663,"7,27 €","{'job': 'Operador de máquinas de tratamiento de pieles y cueros', 'company': 'Molins-Castillo', 'ssn': '491-45-7435', 'residence': 'Camino Anita Anaya 58\nAlbacete, 29976', 'current_location': (Decimal('35.121539'), Decimal('-178.622656')), 'blood_group': 'O-', 'website': ['https://www.nieto-murillo.net/'], 'username': 'tcordero', 'name': 'Rosenda Calixta Pi Neira', 'sex': 'F', 'address': 'Ronda Ibán Blanch 17\nMelilla, 29882', 'mail': 'nacho404hotmail.com', 'birthdate': datetime.date(1988, 7, 27)}",-583645084.18176,2659,2,8952,Castilla-La Mancha,"106,111,112",Apt. 98,Zamora,WBNDESQR,Libero vel ipsam sit architecto tempore qui. Nemo occaecati odio repudiandae. Sit tempore similique fuga in ab earum.,Asia/Taipei,http://casares.es/,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_5_6) AppleWebKit/531.0 (KHTML, like Gecko) Chrome/55.0.865.0 Safari/531.0",juliazamora
1B356BEA1DCF4F6C81106929E54EB633,Martín,Acero,"Cuesta Odalys Tur 2 Piso 8 
Navarra, 23429",adan07gmail.com,narranz6gracia.org,Albacete,"Cuéllar, Bustos and Varela",30043974521423,03/23,531,VISA 13 digit,"('EGP', 'Libra egipcia')",SEK,1985-12-24,1928-11-01,2019-10-13 18:33:37,miércoles,desktop-40.larranaga.org,https://placekitten.com/274/825,4.17.189.108,8b:aba9:efe0:bdf9:611c:c303:41be:1214,Mecánico y reparador de motores de avión,"(Decimal('14.4752135'), Decimal('78.699018'))",24155200W,g^A5P$zNJX,+34844767543,"769,10 €","{'job': 'Técnico en electrónica', 'company': 'Ferrero PLC', 'ssn': '492-89-9688', 'residence': 'C. de Loreto Soria 11\nGranada, 01863', 'current_location': (Decimal('76.4636835'), Decimal('-115.680777')), 'blood_group': 'B-', 'website': ['https://giralt-sanabria.com/', 'http://cobo.com/', 'http://www.cervera.es/', 'https://www.miguel-alcolea.com/'], 'username': 'pelayonunez', 'name': 'Saturnina Barrio Lobato', 'sex': 'F', 'address': 'Pasaje de Fanny Sabater 780 Piso 3 \nSanta Cruz de Tenerife, 04957', 'mail': 'claraalberola2hotmail.com', 'birthdate': datetime.date(2017, 1, 19)}",557257.44739928,6126,7,5707,Ciudad Autónoma de Melilla,"109,217,31",Apt. 23,Girona,RXMZES7Z1HJ,"Alias sint debitis illum expedita. Facere dicta consequatur ratione ducimus labore impedit enim.
Perspiciatis veritatis aperiam eveniet quasi fuga. Ipsum architecto hic dolore.",Africa/Niamey,https://jover.es/,Opera/8.92.(Windows NT 4.0; ti-ER) Presto/2.9.187 Version/11.00,ofont
