customer_id,nif,first_name_male,last_name_male,city,date_of_birth,address,region,timezone,free_email,image_url,latlng,phone_number,secondary_address,state_name,url,user_name,password,user_agent,rgb_color,hostname,ipv4,ipv6,company,company_email,job,swift,credit_card_provider,credit_card_number,credit_card_expire,credit_card_security_code,currency,date_time,pricetag,profile,text
E953AA635204462B996B2817747EC062,92926899E,Chuy,Nicolau,Álava,1932-02-20,"Via de Marita Casanova 26
Cádiz, 09874",Cataluña,America/Paramaribo,lidia159yahoo.com,https://picsum.photos/155/786,"(Decimal('56.457428'), Decimal('-61.202382'))",+34979058879,Piso 7,Lleida,https://www.barcena-tur.com/,ppozuelo,_X0LhJO799,"Mozilla/5.0 (iPod; U; CPU iPhone OS 4_2 like Mac OS X; pap-AN) AppleWebKit/535.21.1 (KHTML, like Gecko) Version/3.0.5 Mobile/8B111 Safari/6535.21.1","48,20,164",web-39.sala.net,146.181.137.174,ee32:1c82:3f4d:6c77:39b6:4c1d:24ed:d7b1,Guijarro LLC,chelo566chamorro.es,Empalmador de cables,QYAFESPA,Discover,340295601423036,03/27,879,"('CUP', 'Peso subano')",2018-12-03 11:37:04,"26,74 €","{'job': 'Peón de explotaciones de cultivos mixtos y ganaderos', 'company': 'Vicens-Cabeza', 'ssn': '307-27-1191', 'residence': 'Cañada Leoncio Peñalver 1 Puerta 9 \nLeón, 03006', 'current_location': (Decimal('-63.455669'), Decimal('-149.722000')), 'blood_group': 'B+', 'website': ['https://www.puig.com/', 'http://vicente.com/', 'https://guerrero-amador.org/'], 'username': 'pepitacodina', 'name': 'Roxana Alba-Salmerón', 'sex': 'F', 'address': 'Pasaje de Florina Sans 49\nGuadalajara, 44520', 'mail': 'adadiapastorhotmail.com', 'birthdate': datetime.date(1964, 10, 28)}","Occaecati laudantium quae sed non similique. Nam culpa ducimus delectus tempora beatae. Minima mollitia veniam quas quo modi totam.
Non repellendus vero consectetur. Optio eveniet dolores ea."
66B913EC4F814B39BAACBB5CE26ED3B1,84373267K,Augusto,Peral,Valencia,1945-05-09,"Camino Gaspar Medina 58
Tarragona, 27426",Principado de Asturias,Europe/Brussels,tere68gmail.com,https://dummyimage.com/115x66,"(Decimal('59.0450825'), Decimal('-98.759114'))",+34815 56 24 36,Apt. 12,Badajoz,http://www.quevedo.net/,ybonet,bO6$mau6E^,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 5.2; Trident/5.1),"111,131,242",db-45.iriarte-segarra.es,194.87.40.15,45ef:536c:8d6e:6b65:5816:a164:4c43:af84,Ferrero-Jurado,urbano41prado-roca.com,Agente de bolsa,ZBNPES3KK14,Mastercard,4632177767908,10/27,572,"('MMK', 'Kyat birmano')",1991-02-02 14:36:01,"2,38 €","{'job': 'Conductor de camiones pesados', 'company': 'Gallart-Blazquez', 'ssn': '006-03-6976', 'residence': 'Via de Consuelo Juliá 507 Puerta 6 \nAsturias, 46903', 'current_location': (Decimal('26.969317'), Decimal('-33.888902')), 'blood_group': 'B+', 'website': ['http://www.ruano.com/', 'https://moll.es/', 'http://www.guardia.org/'], 'username': 'rafaela42', 'name': 'Imelda Nydia Osuna Guijarro', 'sex': 'F', 'address': 'Paseo Eloy Alsina 2\nBaleares, 09703', 'mail': 'febevillanuevahotmail.com', 'birthdate': datetime.date(1954, 6, 6)}",Excepturi reprehenderit praesentium perspiciatis error blanditiis. Reprehenderit voluptate sequi veritatis.
71FF0A5743444AB5916BFCBE7CA69020,45978378K,Vito,Nebot,Navarra,1912-09-02,"Vial de Haroldo Cabanillas 56 Piso 2 
Palencia, 38492",Illes Balears,Pacific/Funafuti,benitocarbonell4yahoo.com,https://dummyimage.com/156x916,"(Decimal('72.973417'), Decimal('34.285550'))",+34900230220,Apt. 96,Granada,https://www.taboada.com/,cescobar,m(1Is*iycL,Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_5_4; rv:1.9.6.20) Gecko/2357-12-18 16:28:26 Firefox/3.8,"233,223,122",email-22.llabres-alvaro.net,42.13.48.39,3bc3:263d:bdd5:1f45:84d:bd9c:7781:4e4b,"Aranda, Losa and Morales",azahara192higueras-pintor.com,Director de servicios de salud,JUQHES9GL0H,VISA 13 digit,560001960924,01/31,323,"('IDR', 'Rupia indonesia')",1971-10-03 18:23:22,"188,78 €","{'job': 'Demostrador de tiendas', 'company': 'Beltrán and Sons', 'ssn': '366-18-4183', 'residence': 'Pasaje de Severiano Pedrero 212 Apt. 44 \nZaragoza, 18218', 'current_location': (Decimal('-12.3624665'), Decimal('-160.155233')), 'blood_group': 'B+', 'website': ['https://www.oliva.com/', 'http://mendez.com/'], 'username': 'barcomartirio', 'name': 'Yago del Valera', 'sex': 'M', 'address': 'Glorieta Adriana Torrent 1 Puerta 0 \nCádiz, 27904', 'mail': 'dominguezjesus8gmail.com', 'birthdate': datetime.date(1987, 5, 10)}",Provident mollitia fugiat sunt neque quidem. Dicta placeat quo saepe magnam nisi eligendi. Odio numquam illum odio temporibus culpa autem.
2C1BC5D5B1C94DB29C7F995A121F841F,88741878N,Paulino,Solsona,Murcia,2001-01-12,"Alameda Prudencia Zurita 95
Zamora, 21860",Principado de Asturias,Africa/Mbabane,reginacamachohotmail.com,https://placekitten.com/172/358,"(Decimal('-43.547506'), Decimal('-170.777669'))",+34 973 73 50 37,Puerta 1,La Coruña,https://lillo.com/,landrade,0gsZ^YLy_6,"Mozilla/5.0 (iPhone; CPU iPhone OS 4_2_1 like Mac OS X) AppleWebKit/536.1 (KHTML, like Gecko) FxiOS/18.5m8635.0 Mobile/62I620 Safari/536.1","86,59,145",srv-43.alemany-carvajal.com,79.12.115.98,4cc7:512a:35cb:80e4:6672:eb16:caf8:f409,Paredes-Goñi,qhuguet9lobato-garzon.net,Sociólogo,YFTPES2B62O,Maestro,3543056460242357,12/26,505,"('LSL', 'Loti lesothense')",1982-05-26 10:35:15,"36.097,72 €","{'job': 'Ayudante de ambulancia', 'company': 'Araujo-Páez', 'ssn': '304-67-4200', 'residence': 'Avenida Ana Belén Pedro 914 Apt. 87 \nAlicante, 01590', 'current_location': (Decimal('78.798874'), Decimal('-158.522178')), 'blood_group': 'B+', 'website': ['https://www.plana-arellano.com/', 'http://www.gutierrez.com/', 'http://alcaraz.es/'], 'username': 'elisaborrego', 'name': 'Manola de Uriarte', 'sex': 'F', 'address': 'Cuesta de Fernando Gomez 67 Apt. 78 \nSegovia, 31071', 'mail': 'aitorpalmeryahoo.com', 'birthdate': datetime.date(1994, 11, 19)}","Magnam sit nobis aliquid placeat laborum quibusdam. Incidunt suscipit dicta officia.
Corrupti illo est libero exercitationem. Delectus deleniti doloremque laudantium expedita beatae deleniti."
926B42F26B0E42BE9744E91F62C90708,27807561D,Narciso,Valenciano,Ceuta,1928-01-08,"Ronda Zaira Esparza 87
Álava, 35899",Cantabria,Asia/Tokyo,paezgeraldohotmail.com,https://placekitten.com/352/19,"(Decimal('14.391451'), Decimal('159.915861'))",+34846 57 56 01,Piso 7,La Coruña,https://lozano.net/,juan-bautistaagudo,+m9Q_oCh+H,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_4 rv:6.0; lb-LU) AppleWebKit/532.13.1 (KHTML, like Gecko) Version/5.1 Safari/532.13.1","190,106,4",srv-47.arce.com,8.86.237.118,99bf:c6d0:3148:ff72:85bb:c5b8:1358:2d4f,"Bernad, Roselló and Andrés",josep13calatayud.net,Decorador de interior,JMIYESG3,JCB 16 digit,3560766191662404,11/24,629,"('MNT', 'Tugrik mongol')",1997-11-27 14:01:56,"232,97 €","{'job': 'Operador de máquinas de procesamiento de texto y mecanógrafos', 'company': 'Benet and Sons', 'ssn': '168-83-2839', 'residence': 'Cañada de Luisina Vilaplana 93\nLeón, 46789', 'current_location': (Decimal('-35.636038'), Decimal('-61.274939')), 'blood_group': 'B+', 'website': ['https://martorell.com/'], 'username': 'teodoro14', 'name': 'Jennifer Polo', 'sex': 'F', 'address': 'Callejón de María Manuela Bonet 63\nGirona, 03858', 'mail': 'leonmorante8yahoo.com', 'birthdate': datetime.date(1921, 7, 15)}",Odit iste iure architecto veniam. Sequi temporibus occaecati sequi similique. Occaecati maxime quidem fugit aperiam.
F24999B9EA514FB294B7852B0F1FEE8A,57516575S,Elías,Canet,Huelva,1940-04-20,"Glorieta Leandro Nicolau 716
Álava, 08619",Aragón,Africa/Bangui,juan-bautista127gmail.com,https://placekitten.com/258/1003,"(Decimal('29.3924975'), Decimal('3.194821'))",+34841 436 959,Piso 9,Alicante,https://oliva-segovia.com/,fernandezroldan,2j8T)9Sg5z,"Mozilla/5.0 (iPad; CPU iPad OS 5_1_1 like Mac OS X) AppleWebKit/534.1 (KHTML, like Gecko) CriOS/49.0.834.0 Mobile/36E717 Safari/534.1","133,17,50",lt-19.garate-nino.es,137.255.47.241,77ed:6c6d:2299:4410:f94d:c20d:3080:e4b6,Abad-Palomino,vilaplanaedelmira3campoy.com,Artesano,HFVKESXY,JCB 16 digit,342359849808552,10/29,337,"('NAD', 'Dólar namibio')",1999-04-09 01:11:34,"47.264,32 €","{'job': 'Director de cine', 'company': 'Barreda-Pagès', 'ssn': '318-92-6203', 'residence': 'Vial de Antonio Fábregas 109\nMadrid, 17900', 'current_location': (Decimal('-28.5486695'), Decimal('149.079820')), 'blood_group': 'B+', 'website': ['https://www.folch.org/', 'https://solera.com/', 'http://silva-mateu.es/'], 'username': 'paz54', 'name': 'Rosario Yuste', 'sex': 'F', 'address': 'Pasadizo de Encarna Fuster 64\nLa Rioja, 13173', 'mail': 'beatriz033hotmail.com', 'birthdate': datetime.date(1941, 12, 9)}",Reiciendis porro molestiae dolorum occaecati facere. Veritatis optio ipsam delectus doloribus incidunt repellendus sapiente.
D6805FBCBB8742D3891CEC2D3B0F1CDB,51856985N,Modesto,Montoya,Ciudad,1978-01-24,"Alameda de Marcela Alberto 31 Puerta 3 
León, 04237",Cantabria,Asia/Muscat,donosobelen3gmail.com,https://placeimg.com/937/539/any,"(Decimal('85.223989'), Decimal('-99.567262'))",+34 841 491 870,Puerta 8,Granada,https://www.vicens-ariza.net/,nvalenzuela,$04S9Der)t,Mozilla/5.0 (X11; Linux i686; rv:1.9.5.20) Gecko/6237-10-07 13:02:01 Firefox/3.8,"28,243,188",srv-55.garay-neira.com,147.28.210.129,b4d3:a4e:796c:70fd:23f0:96c2:196a:cf65,"Cobo, Sáez and Prada",ericfrancisco6pena.es,Trabajador comunitario de la salud,WKTXESPKYJI,VISA 19 digit,374790683688307,08/27,500,"('ALL', 'Lek albanés')",1990-10-23 20:10:03,"4.801,15 €","{'job': 'Matemático', 'company': 'Bárcena PLC', 'ssn': '112-18-0154', 'residence': 'Pasaje Juan Luis Arce 36\nZaragoza, 13928', 'current_location': (Decimal('1.098892'), Decimal('45.798254')), 'blood_group': 'AB-', 'website': ['https://www.valbuena.es/', 'https://suarez-menendez.es/', 'http://figueras.es/', 'https://ferrera.es/'], 'username': 'montesbaudelio', 'name': 'Amando Casanovas Niño', 'sex': 'M', 'address': 'Cañada de Xiomara Sáenz 236 Piso 6 \nJaén, 42393', 'mail': 'recioflorentina2hotmail.com', 'birthdate': datetime.date(1959, 3, 5)}","Harum quia accusamus. Magni ullam earum debitis cumque magni nihil.
Ex neque officia laborum velit. Iste nostrum magni hic."
C66DF6AA0E604C6EAD3CC4159F5E69B1,39665283N,Alcides,Valero,Albacete,1953-11-20,"Paseo de Feliciano Capdevila 5
Palencia, 06977",Comunidad de Madrid,Atlantic/Cape_Verde,gmenendezyahoo.com,https://picsum.photos/904/105,"(Decimal('-84.687648'), Decimal('112.001926'))",+34942 759 304,Puerta 0,Las Palmas,https://www.cal.org/,tamara35,U_1vSv*94,"Mozilla/5.0 (iPod; U; CPU iPhone OS 3_3 like Mac OS X; cs-CZ) AppleWebKit/532.43.7 (KHTML, like Gecko) Version/4.0.5 Mobile/8B112 Safari/6532.43.7","42,49,1",desktop-21.ballesteros.com,86.30.141.67,2af9:1a96:4629:52bd:be11:8009:c0ef:cbae,Solera LLC,eusebiojuarez8alvarez-baeza.es,Maleter,JWFJESYFTYX,Diners Club / Carte Blanche,30369137765882,05/31,955,"('SAR', 'Riyal saudí')",1972-12-28 20:04:21,"343,17 €","{'job': 'Conductor de vehículos accionados a pedal o a brazo', 'company': 'Benavente Inc', 'ssn': '393-86-3856', 'residence': 'Camino de Ainara Batlle 28 Piso 6 \nÁlava, 34866', 'current_location': (Decimal('-53.3103445'), Decimal('-79.285623')), 'blood_group': 'O-', 'website': ['http://www.julian.com/', 'https://saura.com/'], 'username': 'amigomaite', 'name': 'Belen Jover Martín', 'sex': 'F', 'address': 'Via Jorge Manzano 50 Apt. 72 \nCórdoba, 02335', 'mail': 'rartigashotmail.com', 'birthdate': datetime.date(1941, 12, 3)}","Hic minus adipisci. Magnam architecto itaque facilis repellat fugiat.
Voluptate velit aut. Placeat reiciendis velit autem nulla."
9E2B326A4584483AAA13FA666C9BA846,39860248Y,Adalberto,Maza,Badajoz,2021-10-11,"Paseo de Teresa Daza 10 Puerta 4 
Madrid, 38466",País Vasco,Asia/Dili,octavia41yahoo.com,https://picsum.photos/730/940,"(Decimal('38.030699'), Decimal('-170.040920'))",+34 843912487,Apt. 09,La Rioja,https://gomez.com/,hsaldana,10WDNTu&l4,Mozilla/5.0 (compatible; MSIE 6.0; Windows NT 5.2; Trident/3.0),"78,161,178",db-07.olmedo.es,60.34.206.227,284a:c676:e533:854a:20dc:a99e:6794:b078,Sala Group,qcalatayudpavon.com,"Director de empresas de abastecimiento, distribución y afines",VMFAES56NYL,Maestro,4005635020642,12/30,148,"('CZK', 'Corona checa')",2010-04-29 01:45:30,"50.907,30 €","{'job': 'Recolector de leña', 'company': 'Haro and Sons', 'ssn': '206-80-7058', 'residence': 'Cañada de Trini Galan 1\nJaén, 24299', 'current_location': (Decimal('71.5782595'), Decimal('29.905054')), 'blood_group': 'O+', 'website': ['http://chico-clavero.net/', 'https://ortega.org/', 'https://palma.com/'], 'username': 'aitana13', 'name': 'Aristides Valera Gonzalo', 'sex': 'M', 'address': 'Ronda de Felipa Trujillo 286\nGuipúzcoa, 27531', 'mail': 'octaviacerdanhotmail.com', 'birthdate': datetime.date(2009, 2, 17)}","Eligendi dolores quia eveniet autem et. Laudantium esse facilis. Veritatis sunt id nam quasi nulla voluptates.
Corrupti at error eos quam accusamus. Accusamus optio dolore maiores optio."
9F36B1B6F751466A9FDE333380101DB2,76092279E,Octavio,Bravo,Córdoba,1999-12-10,"Cañada Ramiro Mascaró 59
Zamora, 47185",Aragón,Asia/Qatar,maria-teresariverayahoo.com,https://placeimg.com/362/603/any,"(Decimal('88.9427685'), Decimal('79.815074'))",+34 803 34 38 51,Piso 4,Ciudad,http://www.bayona-canovas.net/,romanmanola,94R1cIKw5n,"Mozilla/5.0 (Linux; Android 3.2.1) AppleWebKit/534.1 (KHTML, like Gecko) Chrome/26.0.811.0 Safari/534.1","37,239,59",laptop-63.aparicio-nicolau.com,69.63.202.192,a337:a66d:21d7:d704:a16f:9cd5:35de:6c08,"Quintero, Peral and Segovia",menageorgina8arrieta-jimenez.com,Conductor de camiones pesados,KYBKES72,Mastercard,3519703127986542,04/24,74,"('PGK', 'Kina')",1987-01-11 23:02:56,"6.370,00 €","{'job': 'Programador de aplicaciones', 'company': 'Bravo and Sons', 'ssn': '060-75-5493', 'residence': 'Camino Reyes Alarcón 10 Piso 7 \nBaleares, 08270', 'current_location': (Decimal('-44.4567515'), Decimal('-129.701094')), 'blood_group': 'AB-', 'website': ['http://www.acuna-exposito.com/', 'https://naranjo.org/', 'http://fuente.com/', 'https://www.guardia.com/'], 'username': 'salome21', 'name': 'Ignacio Fuente-Rios', 'sex': 'M', 'address': 'Plaza Edgardo Vazquez 30 Puerta 0 \nSoria, 01754', 'mail': 'lloretamalia3gmail.com', 'birthdate': datetime.date(1985, 8, 24)}",Odio id harum quis distinctio laboriosam nemo. Totam iusto quos mollitia. Doloremque delectus libero itaque voluptatibus.
